title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude,metro_score,bus_score,hwy_score,airport_score,IABS
 ,3900000,680,5735.294118,Taloje,Mumbai,Apartment,1,1,0,Unfurnished,5,1,19.07429886,73.11659241,0.0,0.0,0.0,0.0,0.0
JSB Gokul Nakshatra,4500000,750,6000.0,Virar,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.45196724,72.80718231,0.5,0.0,0.0,0.0,20.0
Satya Shree Satya Shankar Residency,10700000,850,12588.23529,Thane,Mumbai,Apartment,2,2,0,Unfurnished,10,1,19.24264526,72.97179413,0.0,0.0,0.0,0.0,0.0
Kabra Happy Valley,12400000,950,13052.63158,Thane,Mumbai,Apartment,2,2,0,Furnished,14,1,19.23759651,72.97093201,0.0,0.0,0.0,0.0,0.0
Lodha Sterling,26500000,1650,16060.60606,Thane,Mumbai,Apartment,4,3,0,Unfurnished,1,1,19.23395538,72.98749542,0.0,0.0,0.2,0.0,4.000000000000001
 ,4100000,650,6307.692308,Panvel,Mumbai,Apartment,1,2,0,Unfurnished,8,1,18.94446754,73.13665771,0.2,0.0,0.2,0.0,12.000000000000002
JP North Phase 6 Alexa,7300000,750,9733.333333,Mira Road,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.28165245,72.88603973,0.0,0.0,0.5,0.0,10.0
 ,6300000,1050,6000.0,Panvel,Mumbai,Apartment,2,2,0,Unfurnished,8,1,18.94446182,73.13666534,0.2,0.0,0.2,0.0,12.000000000000002
Reputed Builder Mauli Darshan,13500000,1125,12000.0,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,16,1,19.04068375,73.07875824,0.0,0.0,0.8,0.0,16.000000000000004
Cosmos Habitate Harmony B Wing,11000000,980,11224.4898,Thane,Mumbai,Apartment,2,2,0,Unfurnished,5,1,19.21817207,72.98071289,0.0,0.0,0.8,0.0,16.000000000000004
Sapphire Heights,8500000,1100,7727.272727,Khar,Mumbai,Apartment,2,2,0,Unfurnished,11,1,19.07259941,73.0763092,0.2,0.0,0.2,0.0,12.000000000000002
Bhavani Krishna Majesty,10500000,1150,9130.434783,Kharghar,Mumbai,Apartment,2,2,0,Furnished,10,1,19.07089233,73.07003021,0.0,0.0,0.0,0.0,0.0
 ,12500000,1125,11111.11111,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.04979515,73.07844543,0.0,0.0,0.2,0.0,4.000000000000001
 ,13000000,1250,10400.0,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.04951477,73.07559204,0.0,0.0,0.2,0.0,4.000000000000001
 ,13000000,1250,10400.0,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.04951477,73.07559204,0.0,0.0,0.2,0.0,4.000000000000001
Paradise Paradise Sai World Empire,18300000,1310,13969.46565,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.07197189,73.08110809,0.2,0.0,0.2,0.0,12.000000000000002
Larkins Pride Palms,9000000,600,15000.0,Thane,Mumbai,Apartment,1,2,0,Unfurnished,3,1,19.23244095,72.98609161,0.0,0.0,0.2,0.0,4.000000000000001
 ,14000000,1250,11200.0,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.06076813,73.08040619,0.0,0.0,0.2,0.0,4.000000000000001
 ,14000000,1250,11200.0,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.06076813,73.08040619,0.0,0.0,0.2,0.0,4.000000000000001
